SIZE N COMPARISONS TIME
20000 0 11511579 8.129999999999995
20000 1 4790719 1.7800000000000011
20000 2 4144276 5.449999999999989
20000 3 3448049 1.2800000000000011
20000 4 2851810 3.469999999999999
20000 5 2459206 0.9199999999999875
20000 6 2353817 2.6699999999999875
20000 7 2259507 0.8400000000000034
20000 8 1518823 2.710000000000008
20000 9 1409028 0.539999999999992
20000 10 1346123 0.5099999999999909
20000 11 1222363 0.47999999999998977
20000 12 1169638 0.7800000000000011
20000 13 1164318 2.230000000000018
20000 14 1136260 0.45000000000001705
20000 15 1072465 0.4199999999999875
20000 16 1044639 1.1299999999999955
20000 17 1028312 1.740000000000009
20000 18 1010937 0.44999999999998863
20000 19 991769 0.4000000000000057
20000 20 846090 0.3300000000000125
20000 21 802679 1.5900000000000034
20000 22 802800 0.6699999999999875
20000 23 772807 0.5
20000 24 759417 0.29999999999998295
20000 25 748580 0.29999999999998295
20000 26 732094 0.28999999999999204
20000 27 728698 1.1100000000000136
20000 28 705035 1.3500000000000227
20000 29 697149 0.6700000000000159
20000 30 624281 0.27000000000001023
20000 31 623155 0.25
20000 32 620071 0.25
20000 33 593480 0.2599999999999909
20000 34 580932 1.2099999999999795
20000 35 572159 1.079999999999984
20000 36 568668 0.28000000000000114
20000 37 565729 0.22999999999998977
20000 38 496398 0.19999999999998863
20000 39 490774 0.20000000000001705
20000 40 479335 0.21999999999999886
20000 41 476537 0.25
20000 42 473170 0.9399999999999977
20000 43 472738 0.710000000000008
20000 44 469039 0.44999999999998863
20000 45 468462 0.18999999999999773
20000 46 466610 0.20000000000001705
20000 47 463936 0.19999999999998863
20000 48 468973 0.18999999999999773
20000 49 465688 0.19999999999998863
20000 50 464641 0.7599999999999909
20000 51 460078 1.0
20000 52 457266 0.39999999999997726
20000 53 454805 0.6299999999999955
20000 54 447945 0.20000000000001705
20000 55 444167 0.23999999999998067
20000 56 441909 0.18999999999999773
20000 57 438267 0.18999999999999773
20000 58 434730 0.18999999999999773
20000 59 434042 0.25
20000 60 434790 0.9300000000000068
20000 61 424130 0.8700000000000045
20000 62 419652 0.5300000000000011
20000 63 418660 0.18000000000000682
20000 64 416495 0.18999999999999773
20000 65 414269 0.18000000000000682
20000 66 414780 0.18000000000000682
20000 67 411813 0.18000000000000682
20000 68 384168 0.18000000000000682
20000 69 384681 0.8000000000000114
20000 70 386219 0.6299999999999955
20000 71 385661 0.27000000000001023
20000 72 383684 0.5900000000000034
20000 73 383298 0.1599999999999966
20000 74 381090 0.17000000000001592
20000 75 381739 0.1699999999999875
20000 76 400140 0.18000000000000682
20000 77 396485 0.18000000000000682
20000 78 395041 0.20999999999997954
20000 79 394534 0.45000000000001705
20000 80 392193 0.8900000000000148
20000 81 391601 0.3599999999999852
20000 82 390791 0.5300000000000011
20000 83 390573 0.1799999999999784
20000 84 383063 0.17000000000001592
20000 85 382048 0.18000000000000682
20000 86 379126 0.17000000000001592
20000 87 378031 0.1699999999999875
20000 88 376241 0.1599999999999966
20000 89 375247 0.18000000000000682
20000 90 374761 1.009999999999991
20000 91 374594 0.7099999999999795
20000 92 374043 0.6000000000000227
20000 93 373825 0.17000000000001592
20000 94 374701 0.17000000000001592
20000 95 384382 0.18000000000000682
20000 96 384192 0.1699999999999875
20000 97 382706 0.18000000000000682
20000 98 383796 0.21999999999999886
20000 99 377183 1.009999999999991
