SIZE N COMPARISONS TIME SWAPS
20000 0 11511579 5.8300000000000125 100
20000 1 4790719 5.570000000000007 100
20000 2 4144276 1.4599999999999937 100
20000 3 3448049 1.190000000000012 100
20000 4 2851810 2.4299999999999926 100
20000 5 2459206 0.8700000000000045 100
20000 6 2353817 2.859999999999985 100
20000 7 2259507 0.8100000000000023 100
20000 8 1518823 0.9699999999999989 100
20000 9 1409028 1.829999999999984 100
20000 10 1346123 0.47999999999998977 100
20000 11 1222363 0.4399999999999977 100
20000 12 1169638 0.4399999999999977 100
20000 13 1164318 2.1899999999999977 100
20000 14 1136260 0.5 100
20000 15 1072465 0.38999999999998636 100
20000 16 1044639 0.3900000000000148 100
20000 17 1028312 1.950000000000017 100
20000 18 1010937 0.6100000000000136 100
20000 19 991769 0.3599999999999852 100
20000 20 846090 0.3199999999999932 100
20000 21 802679 0.3900000000000148 100
20000 22 802800 0.8400000000000034 100
20000 23 772807 1.3699999999999761 100
20000 24 759417 0.28000000000000114 100
20000 25 748580 0.2799999999999727 100
20000 26 732094 0.2699999999999818 100
20000 27 728698 0.27000000000001023 100
20000 28 705035 1.259999999999991 100
20000 29 697149 0.7599999999999909 100
20000 30 624281 0.2400000000000091 100
20000 31 623155 0.2599999999999909 100
20000 32 620071 0.2400000000000091 100
20000 33 593480 0.2600000000000193 100
20000 34 580932 0.5100000000000193 100
20000 35 572159 1.0800000000000125 100
20000 36 568668 0.9799999999999898 100
20000 37 565729 0.25 100
20000 38 496398 0.19999999999998863 100
20000 39 490774 0.20000000000001705 100
20000 40 479335 0.20000000000001705 100
20000 41 476537 0.19999999999998863 100
20000 42 473170 1.0700000000000216 100
20000 43 472738 0.8899999999999864 100
20000 44 469039 0.7199999999999989 100
20000 45 468462 0.20000000000001705 100
20000 46 466610 0.1799999999999784 100
20000 47 463936 0.18000000000000682 100
20000 48 468973 0.18000000000000682 100
20000 49 465688 0.20000000000001705 100
20000 50 464641 0.1799999999999784 100
20000 51 460078 0.9799999999999898 100
20000 52 457266 0.5800000000000125 100
20000 53 454805 0.4000000000000057 100
20000 54 447945 0.18000000000000682 100
20000 55 444167 0.18000000000000682 100
20000 56 441909 0.19999999999998863 100
20000 57 438267 0.1799999999999784 100
20000 58 434730 0.17000000000001592 100
20000 59 434042 0.18000000000000682 100
20000 60 434790 0.8400000000000034 100
20000 61 424130 0.8400000000000034 100
20000 62 419652 0.7700000000000102 100
20000 63 418660 0.18000000000000682 100
20000 64 416495 0.1699999999999875 100
20000 65 414269 0.19999999999998863 100
20000 66 414780 0.18000000000000682 100
20000 67 411813 0.1699999999999875 100
20000 68 384168 0.1599999999999966 100
20000 69 384681 0.4300000000000068 100
20000 70 386219 0.8300000000000125 100
20000 71 385661 0.3599999999999852 100
20000 72 383684 0.4000000000000057 100
20000 73 383298 0.5400000000000205 100
20000 74 381090 0.1699999999999875 100
20000 75 381739 0.1599999999999966 100
20000 76 400140 0.1799999999999784 100
20000 77 396485 0.18000000000000682 100
20000 78 395041 0.1599999999999966 100
20000 79 394534 0.1599999999999966 100
20000 80 392193 0.9200000000000159 100
20000 81 391601 0.4800000000000182 100
20000 82 390791 0.5800000000000125 100
20000 83 390573 0.45999999999997954 100
20000 84 383063 0.1599999999999966 100
20000 85 382048 0.1699999999999875 100
20000 86 379126 0.18999999999999773 100
20000 87 378031 0.1599999999999966 100
20000 88 376241 0.1599999999999966 100
20000 89 375247 0.21999999999999886 100
20000 90 374761 0.8400000000000034 100
20000 91 374594 0.799999999999983 100
20000 92 374043 0.6899999999999977 100
20000 93 373825 0.1599999999999966 100
20000 94 374701 0.17000000000001592 100
20000 95 384382 0.1699999999999875 100
20000 96 384192 0.1599999999999966 100
20000 97 382706 0.17000000000001592 100
20000 98 383796 0.1599999999999966 100
20000 99 377183 0.46000000000000796 100
