SIZE N COMPARISONS TIME
20000 0 279568 0.16999999999995907
20000 1 295873 0.17999999999994998
20000 2 265269 0.17000000000007276
20000 3 262996 0.8099999999999454
20000 4 249383 0.7799999999999727
20000 5 263164 0.15999999999996817
20000 6 254276 0.15999999999996817
20000 7 271780 0.16999999999995907
20000 8 240674 0.16999999999995907
20000 9 249038 0.17000000000007276
20000 10 271632 0.16999999999995907
20000 11 235370 0.16000000000008185
20000 12 308024 0.16999999999995907
20000 13 258574 0.7999999999999545
20000 14 248722 0.8199999999999363
20000 15 267943 0.2699999999999818
20000 16 269937 0.16000000000008185
20000 17 246239 0.17000000000007276
20000 18 255637 0.16999999999995907
20000 19 273523 0.17999999999994998
20000 20 254306 0.15000000000009095
20000 21 298090 0.16999999999995907
20000 22 247301 0.16999999999995907
20000 23 281770 0.7999999999999545
20000 24 260161 0.8000000000000682
20000 25 264800 0.16999999999995907
20000 26 280894 0.20000000000004547
20000 27 271039 0.16999999999995907
20000 28 280846 0.16999999999995907
20000 29 260090 0.16000000000008185
20000 30 252773 0.16999999999995907
20000 31 303509 0.16999999999995907
20000 32 250653 0.17000000000007276
20000 33 242100 0.8000000000000682
20000 34 280422 0.8299999999999272
20000 35 261006 0.16999999999995907
20000 36 273354 0.18999999999994088
20000 37 253199 0.15999999999996817
20000 38 245060 0.17000000000007276
20000 39 251616 0.15999999999996817
20000 40 273662 0.16999999999995907
20000 41 265648 0.18000000000006366
20000 42 252534 0.43000000000006366
20000 43 240642 0.8299999999999272
20000 44 265655 0.8099999999999454
20000 45 238413 0.14999999999997726
20000 46 250889 0.17000000000007276
20000 47 267751 0.16999999999995907
20000 48 259675 0.15999999999996817
20000 49 261713 0.17000000000007276
20000 50 245500 0.16999999999995907
20000 51 261889 0.15999999999996817
20000 52 245904 0.40999999999996817
20000 53 259667 0.75
20000 54 251338 0.7699999999999818
20000 55 233671 0.15999999999996817
20000 56 277767 0.18000000000006366
20000 57 239306 0.15999999999996817
20000 58 270171 0.17999999999994998
20000 59 258899 0.18000000000006366
20000 60 257715 0.7599999999999909
20000 61 239213 0.7699999999999818
20000 62 246217 0.5099999999999909
20000 63 270436 0.16999999999995907
20000 64 291411 0.17000000000007276
20000 65 268544 0.16999999999995907
20000 66 308562 0.17999999999994998
20000 67 250888 0.17999999999994998
20000 68 265419 0.8700000000000045
20000 69 278963 0.8400000000000318
20000 70 246258 0.16999999999995907
20000 71 254446 0.16000000000008185
20000 72 254929 0.15999999999996817
20000 73 263861 0.17999999999994998
20000 74 265909 0.17000000000007276
20000 75 249648 0.7899999999999636
20000 76 255803 0.7900000000000773
20000 77 268864 0.5299999999999727
20000 78 241759 0.16000000000008185
20000 79 254388 0.15999999999996817
20000 80 288887 0.17999999999994998
20000 81 271146 0.16999999999995907
20000 82 251401 0.17000000000007276
20000 83 258660 0.8999999999999773
20000 84 309957 0.8700000000000045
20000 85 277526 0.15999999999996817
20000 86 256097 0.17000000000007276
20000 87 303845 0.16999999999995907
20000 88 282147 0.16999999999995907
20000 89 240357 0.16999999999995907
20000 90 288521 0.8899999999999864
20000 91 273799 0.8099999999999454
20000 92 257209 0.16999999999995907
20000 93 268320 0.17999999999994998
20000 94 262912 0.20000000000004547
20000 95 253775 0.19000000000005457
20000 96 319968 0.21000000000003638
20000 97 270943 0.18999999999994088
20000 98 270292 0.17999999999994998
20000 99 240951 0.92999999999995
