SIZE N COMPARISONS TIME
10000 0 6907456 2.5899999999999994
10000 1 5807274 6.0
10000 2 4399198 3.2499999999999982
10000 3 3706085 1.3399999999999999
10000 4 2610498 2.259999999999998
10000 5 2213160 0.8100000000000023
10000 6 1120714 0.4299999999999997
10000 7 1045054 0.5599999999999987
10000 8 891244 1.5300000000000011
10000 9 853950 0.5400000000000063
10000 10 839707 0.30999999999999517
10000 11 812352 0.30999999999999517
10000 12 767738 0.28999999999999915
10000 13 750428 1.0399999999999991
10000 14 734303 1.2899999999999991
10000 15 718669 0.5399999999999991
10000 16 707676 0.2700000000000031
10000 17 642839 0.240000000000002
10000 18 641412 0.25
10000 19 639930 0.269999999999996
10000 20 630785 1.0799999999999983
10000 21 626612 1.0800000000000054
10000 22 612144 0.7000000000000028
10000 23 624627 0.240000000000002
10000 24 617092 0.23000000000000398
10000 25 610572 0.240000000000002
10000 26 597091 0.23000000000000398
10000 27 594274 0.25
10000 28 589485 1.0399999999999991
10000 29 573049 0.7000000000000028
10000 30 536740 0.6099999999999994
10000 31 534812 0.21000000000000085
10000 32 465116 0.17999999999999972
10000 33 461607 0.18999999999999773
10000 34 455353 0.17999999999999972
10000 35 451335 0.17999999999999972
10000 36 449668 0.17999999999999972
10000 37 445190 0.22999999999999687
10000 38 443549 0.8100000000000023
10000 39 442022 0.8199999999999932
10000 40 395299 0.7600000000000051
10000 41 394039 0.1599999999999966
10000 42 390336 0.1600000000000108
10000 43 390487 0.1599999999999966
10000 44 388994 0.1599999999999966
10000 45 385452 0.1599999999999966
10000 46 384141 0.1599999999999966
10000 47 378873 0.14999999999999147
10000 48 373999 0.25
10000 49 374678 0.6999999999999886
10000 50 332907 0.6200000000000045
10000 51 335103 0.6299999999999955
10000 52 333546 0.37999999999999545
10000 53 332223 0.14000000000000057
10000 54 330861 0.12999999999999545
10000 55 330147 0.13000000000000966
10000 56 328539 0.14000000000000057
10000 57 328657 0.12999999999999545
10000 58 330078 0.12999999999999545
10000 59 325047 0.12999999999999545
10000 60 323238 0.14000000000000057
10000 61 320472 0.12999999999999545
10000 62 318689 0.13000000000000966
10000 63 318169 0.12999999999999545
10000 64 316309 0.14000000000000057
10000 65 315737 0.4399999999999977
10000 66 315262 0.6200000000000045
10000 67 314197 0.6200000000000045
10000 68 313049 0.6099999999999994
10000 69 305835 0.36999999999999034
10000 70 305527 0.12999999999999545
10000 71 304318 0.13000000000000966
10000 72 333498 0.14000000000000057
10000 73 330487 0.14000000000000057
10000 74 329293 0.13000000000000966
10000 75 327165 0.14000000000000057
10000 76 328076 0.13000000000000966
10000 77 327636 0.13999999999998636
10000 78 325843 0.4200000000000017
10000 79 325077 0.6400000000000006
10000 80 309144 0.5900000000000034
10000 81 310268 0.5800000000000125
10000 82 308049 0.4399999999999977
10000 83 307302 0.12999999999999545
10000 84 308451 0.12999999999999545
10000 85 292081 0.11999999999999034
10000 86 291235 0.12000000000000455
10000 87 290921 0.12999999999999545
10000 88 290294 0.11999999999999034
10000 89 288794 0.12000000000000455
10000 90 288763 0.12000000000000455
10000 91 262612 0.10999999999999943
10000 92 261957 0.10999999999999943
10000 93 286290 0.11999999999999034
10000 94 273210 0.12000000000000455
10000 95 274120 0.10999999999999943
10000 96 272876 0.12000000000000455
10000 97 274247 0.5200000000000102
10000 98 248723 0.4899999999999949
10000 99 234878 0.46999999999999886
