SIZE N COMPARISONS TIME
50000 0 45157866 35.95999999999998
50000 1 38780750 30.150000000000034
50000 2 13331176 8.770000000000039
50000 3 9087064 3.490000000000009
50000 4 6466028 2.3700000000000045
50000 5 5883579 2.180000000000007
50000 6 5475150 2.569999999999993
50000 7 5189973 1.9399999999999977
50000 8 4653964 1.8999999999999773
50000 9 4361167 2.509999999999991
50000 10 4231130 3.75
50000 11 3866059 5.300000000000011
50000 12 3708675 4.470000000000027
50000 13 3151302 1.1999999999999886
50000 14 3123353 2.0
50000 15 3063020 4.460000000000036
50000 16 2819180 1.5699999999999932
50000 17 2775507 1.1200000000000045
50000 18 2741927 4.4599999999999795
50000 19 2333059 1.2300000000000182
50000 20 2297433 1.7700000000000387
50000 21 2267926 3.480000000000018
50000 22 2233731 1.0199999999999818
50000 23 2198225 1.9799999999999613
50000 24 2156791 1.0
50000 25 2131749 1.009999999999991
50000 26 2126312 1.2300000000000182
50000 27 2096669 1.8600000000000136
50000 28 1992791 0.8400000000000318
50000 29 1976600 1.330000000000041
50000 30 1967915 1.3299999999999272
50000 31 1919383 0.7899999999999636
50000 32 1898889 2.6000000000000227
50000 33 1888474 0.7799999999999727
50000 34 1872488 3.560000000000059
50000 35 1858978 0.7699999999999818
50000 36 1849924 2.4200000000000728
50000 37 1828495 0.7599999999999909
50000 38 1745424 0.7200000000000273
50000 39 1733450 2.4599999999999227
50000 40 1718257 0.7200000000000273
50000 41 1716057 3.230000000000018
50000 42 1702724 0.7300000000000182
50000 43 1696103 0.82000000000005
50000 44 1684126 2.019999999999982
50000 45 1666825 0.6899999999999409
50000 46 1654913 3.009999999999991
50000 47 1648805 0.6900000000000546
50000 48 1642144 0.6900000000000546
50000 49 1625987 2.7200000000000273
50000 50 1600500 0.6599999999999682
50000 51 1589783 1.6399999999999864
50000 52 1577904 1.259999999999991
50000 53 1571135 0.6599999999999682
50000 54 1569921 2.9600000000000364
50000 55 1759050 0.75
50000 56 1705656 1.4899999999998954
50000 57 1694103 1.3000000000000682
50000 58 1695167 0.7100000000000364
50000 59 1689846 3.17999999999995
50000 60 1683111 0.7100000000000364
50000 61 1678428 1.580000000000041
50000 62 1689073 1.1899999999999409
50000 63 1684263 0.7200000000000273
50000 64 1688478 3.2000000000000455
50000 65 1683156 0.7300000000000182
50000 66 1677021 0.7099999999999227
50000 67 1670272 3.169999999999959
50000 68 1662950 0.7200000000000273
50000 69 1643949 0.7099999999999227
50000 70 1635779 1.8899999999999864
50000 71 1708686 0.8100000000000591
50000 72 1699993 0.7299999999999045
50000 73 1689939 1.150000000000091
50000 74 1680787 1.7200000000000273
50000 75 1676015 0.7199999999999136
50000 76 1667245 0.7100000000000364
50000 77 1662463 2.659999999999968
50000 78 1664655 0.7100000000000364
50000 79 1652394 0.7200000000000273
50000 80 1530687 2.909999999999968
50000 81 1532026 0.6599999999999682
50000 82 1449747 0.6200000000000045
50000 83 1444410 0.7300000000000182
50000 84 1437892 2.2200000000000273
50000 85 1404476 0.6200000000000045
50000 86 1398655 0.6499999999999773
50000 87 1394961 2.400000000000091
50000 88 1332166 0.5900000000000318
50000 89 1283274 0.57000000000005
50000 90 1289826 0.5800000000000409
50000 91 1276069 2.5499999999999545
50000 92 1266303 0.5699999999999363
50000 93 1263181 0.5800000000000409
50000 94 1258834 0.57000000000005
50000 95 1254271 2.5100000000001046
50000 96 1249407 0.5600000000000591
50000 97 1247896 0.5500000000000682
50000 98 1242184 2.300000000000068
50000 99 1236238 0.6800000000000637
