SIZE N COMPARISONS TIME
20000 0 299795 0.2900000000000773
20000 1 315607 0.2799999999999727
20000 2 285538 0.2699999999999818
20000 3 283178 0.8299999999999272
20000 4 269918 1.2800000000000864
20000 5 283013 1.2899999999999636
20000 6 274042 0.2700000000000955
20000 7 291777 0.2599999999999909
20000 8 260594 0.2700000000000955
20000 9 268819 0.2599999999999909
20000 10 291685 0.2699999999999818
20000 11 255622 0.2599999999999909
20000 12 327858 0.2699999999999818
20000 13 278407 0.6200000000000045
20000 14 268758 1.349999999999909
20000 15 288110 1.25
20000 16 290305 0.2699999999999818
20000 17 266404 0.2899999999999636
20000 18 275741 0.2799999999999727
20000 19 293760 0.2900000000000773
20000 20 273955 0.2699999999999818
20000 21 317952 0.2799999999999727
20000 22 267196 0.2699999999999818
20000 23 302014 1.0
20000 24 280087 1.3000000000000682
20000 25 285145 1.0799999999999272
20000 26 301273 0.2699999999999818
20000 27 290858 0.2699999999999818
20000 28 300787 0.2900000000000773
20000 29 280137 0.2699999999999818
20000 30 272995 0.2699999999999818
20000 31 323727 0.2900000000000773
20000 32 270596 0.2599999999999909
20000 33 261986 1.2699999999999818
20000 34 300326 1.3100000000000591
20000 35 280737 0.7899999999999636
20000 36 293708 0.2900000000000773
20000 37 273104 0.2599999999999909
20000 38 264908 0.2699999999999818
20000 39 271675 0.2699999999999818
20000 40 294131 0.2699999999999818
20000 41 285472 0.2899999999999636
20000 42 272668 0.2799999999999727
20000 43 260868 1.2799999999999727
20000 44 285911 1.3600000000000136
20000 45 258776 0.42000000000007276
20000 46 270715 0.2699999999999818
20000 47 287310 0.2799999999999727
20000 48 279524 0.2599999999999909
20000 49 281789 0.2699999999999818
20000 50 265974 0.2699999999999818
20000 51 281893 0.2599999999999909
20000 52 265798 0.2699999999999818
20000 53 279567 1.3199999999999363
20000 54 271341 1.2699999999999818
20000 55 253683 0.5600000000000591
20000 56 297678 0.2899999999999636
20000 57 259380 0.2699999999999818
20000 58 290189 0.2800000000000864
20000 59 279220 0.2699999999999818
20000 60 277780 0.4900000000000091
20000 61 259256 1.3000000000000682
20000 62 266165 1.259999999999991
20000 63 290331 0.2899999999999636
20000 64 311421 0.2999999999999545
20000 65 288495 0.2599999999999909
20000 66 328431 0.2800000000000864
20000 67 270894 0.2800000000000864
20000 68 285433 1.3700000000000045
20000 69 299160 1.3700000000000045
20000 70 266513 0.5500000000000682
20000 71 274377 0.2599999999999909
20000 72 275165 0.2799999999999727
20000 73 284079 0.2599999999999909
20000 74 285800 0.2699999999999818
20000 75 269384 0.38999999999998636
20000 76 275666 1.2999999999999545
20000 77 288794 1.3099999999999454
20000 78 261955 0.2699999999999818
20000 79 274487 0.2599999999999909
20000 80 308853 0.2799999999999727
20000 81 291255 0.2999999999999545
20000 82 271636 0.2699999999999818
20000 83 278709 1.1499999999999773
20000 84 329594 1.3899999999999864
20000 85 297358 0.7199999999999136
20000 86 276286 0.2799999999999727
20000 87 323883 0.2799999999999727
20000 88 302310 0.2900000000000773
20000 89 260747 0.3000000000000682
20000 90 308381 0.6499999999999773
20000 91 293438 1.3799999999999955
20000 92 277070 1.330000000000041
20000 93 288019 0.2800000000000864
20000 94 282999 0.3300000000000409
20000 95 273598 0.2899999999999636
20000 96 339707 0.34999999999990905
20000 97 290994 0.2799999999999727
20000 98 290229 0.34000000000003183
20000 99 261053 1.4099999999999682
